url,file_name,segment_number,bit_rate,file_size
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s26.m4s,BigBuckBunny_10s26.m4s,26,bunny_88482bps,108854
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s27.m4s,BigBuckBunny_10s27.m4s,27,bunny_88482bps,114219
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s28.m4s,BigBuckBunny_10s28.m4s,28,bunny_88482bps,115941
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s29.m4s,BigBuckBunny_10s29.m4s,29,bunny_88482bps,107063
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s30.m4s,BigBuckBunny_10s30.m4s,30,bunny_88482bps,105725
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s31.m4s,BigBuckBunny_10s31.m4s,31,bunny_88482bps,96886
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s32.m4s,BigBuckBunny_10s32.m4s,32,bunny_88482bps,112742
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s33.m4s,BigBuckBunny_10s33.m4s,33,bunny_88482bps,114287
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s34.m4s,BigBuckBunny_10s34.m4s,34,bunny_88482bps,114797
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s35.m4s,BigBuckBunny_10s35.m4s,35,bunny_88482bps,113638
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s36.m4s,BigBuckBunny_10s36.m4s,36,bunny_88482bps,113770
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s37.m4s,BigBuckBunny_10s37.m4s,37,bunny_88482bps,115443
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s38.m4s,BigBuckBunny_10s38.m4s,38,bunny_88482bps,102452
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s39.m4s,BigBuckBunny_10s39.m4s,39,bunny_88482bps,88304
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s40.m4s,BigBuckBunny_10s40.m4s,40,bunny_88482bps,115701
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s41.m4s,BigBuckBunny_10s41.m4s,41,bunny_88482bps,102181
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s42.m4s,BigBuckBunny_10s42.m4s,42,bunny_88482bps,107108
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s43.m4s,BigBuckBunny_10s43.m4s,43,bunny_88482bps,116414
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s44.m4s,BigBuckBunny_10s44.m4s,44,bunny_88482bps,115329
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s45.m4s,BigBuckBunny_10s45.m4s,45,bunny_88482bps,108788
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s46.m4s,BigBuckBunny_10s46.m4s,46,bunny_88482bps,113060
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s47.m4s,BigBuckBunny_10s47.m4s,47,bunny_88482bps,106106
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s48.m4s,BigBuckBunny_10s48.m4s,48,bunny_88482bps,102365
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s49.m4s,BigBuckBunny_10s49.m4s,49,bunny_88482bps,90522
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s50.m4s,BigBuckBunny_10s50.m4s,50,bunny_88482bps,105420
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s51.m4s,BigBuckBunny_10s51.m4s,51,bunny_88482bps,120709
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s52.m4s,BigBuckBunny_10s52.m4s,52,bunny_88482bps,122180
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s53.m4s,BigBuckBunny_10s53.m4s,53,bunny_88482bps,118923
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s54.m4s,BigBuckBunny_10s54.m4s,54,bunny_88482bps,115246
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s55.m4s,BigBuckBunny_10s55.m4s,55,bunny_88482bps,116734
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s56.m4s,BigBuckBunny_10s56.m4s,56,bunny_88482bps,118396
